"binomial","Common.name","Population.size.EBBA2..min.","Population.size.EBBA2..max.","X50.km.squares.occupied..n.","X50.km.squares.occupied....","Population.trend.EBBA2","Change.index","Status.protection.Europe.IUCN","Population.size.IUCN..min.","Population.size.IUCN..max.","Population.trend.Europe.IUCN","pop_size","threat","PC1","PC2","Pop.trend.EBBA2_recalc","CommonName","Promedio"
"Alauda arvensis","Skylark",88700000,158000000,3710,70,"Loss",-2.7,"Least Concern",87800000,132000000,"Decreasing",123350000,"Non-threatened",-0.140384392049987,0.103133156404694,"Loss","Skylark",7.5
"Alaudala rufescens","Lesser Short-toed Lark",3130000,6020000,274,5,"Loss, high uncentainty",-20.9,"",NA,NA,"Decreasing",4575000,"Non-threatened",-0.0849275955400408,0.15083883924721,"Loss","Lesser Short-toed Lark",9.4
"Alectoris rufa","Red-legged Partridge",10100000,14200000,642,12,"Gain",5.7,"Near Threatened",9950000,13700000,"Decreasing",12150000,"Non-threatened",0.000200195265542971,0.115848073851397,"Increase","Red-legged Partridge",6.1
"Anthus berthelotii","Berthelot's Pipit",60000,300000,24,1,"Unknown",NA,"Least Concern",60000,300000,"Unknown",180000,"Non-threatened",-0.212875112474781,0.117028355706928,"Unknown","Berthelot's Pipit",6.5
"Anthus campestris","Tawny Pipit",1820000,3440000,1574,30,"Loss",-4.5,"Least Concern",2240000,4050000,"Unknown",2630000,"Non-threatened",-0.160752271808478,0.00815591656699244,"Loss","Tawny Pipit",8.1
"Asio flammeus","Short-eared Owl",109000,372000,1750,33,"Stable",-1.8,"Least Concern",169000,284000,"Stable",240500,"Non-threatened",0.161779480708118,-0.146786126676849,"Loss","Short-eared Owl",6.8
"Athene noctua","Little Owl",1240000,2340000,2350,44,"Loss",-3.8,"Least Concern",1150000,2140000,"Unknown",1790000,"Non-threatened",-0.0189782913989213,-0.141859301129922,"Loss","Little Owl",4.8
"Burhinus oedicnemus","Stone Curlew",107000,176000,766,14,"Loss",-2.3,"Least Concern",123000,193000,"Decreasing",141500,"Non-threatened",0.196915745745264,0.00795654113848122,"Loss","Stone Curlew",8.5
"Calandrella brachydactyla","Short-toed Lark",9460000,18100000,854,16,"Loss",-10.5,"Least Concern",9300000,17400000,"Unknown",13780000,"Non-threatened",-0.144936713929335,0.114844041018246,"Loss","Short-toed Lark",9.3
"Chersophilus duponti","Dupont’s Lark",4400,5400,47,1,"Uncertain trend",-1.6,"Vulnerable",4600,4700,"Decreasing",4900,"Threatened",-0.137064708874521,0.0737187069561823,"Loss","Dupont’s Lark",9.8
"Circus cyaneus","Hen Harrier",60000,109000,1339,25,"Loss",-17,"Least Concern",112000,174000,"Decreasing",84500,"Non-threatened",0.216498618550892,-0.14943371938109,"Loss","Hen Harrier",7
"Circus macrourus","Pallid harrier",600,2300,171,3,"Uncertain trend",0.1,"Least Concern",2000,4300,"Stable",1450,"Non-threatened",0.257075694661274,-0.144882729116347,"Increase","Pallid harrier",6
"Circus pygargus","Montagu’s Harrier",109000,184000,2022,38,"Gain",6.4,"Least Concern",139000,219000,"Decreasing",146500,"Non-threatened",0.24198545737001,-0.142218240156478,"Increase","Montagu’s Harrier",8.1
"Cisticola juncidis","Zitting Cisticola",1840000,4280000,717,14,"Gain",10.9,"Least Concern",2270000,3680000,"Stable",3060000,"Non-threatened",-0.227597714378573,-0.0574780455393989,"Increase","Zitting Cisticola",5.2
"Coracias garrulus","European Roller",75400,158000,1086,20,"Loss",-20.2,"Least Concern",102000,208000,"Decreasing",116700,"Non-threatened",-0.0643440637965741,-0.197115425908422,"Loss","European Roller",7.9
