"binomial","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Niche","Primary.Lifestyle","Range.Size","hab_breadth","adult_length_cm","female_maturity_d","clutch_size_n","clutches_per_y","maximum_longevity_y","egg_mass_g","incubation_d","fledging_age_d","birth_or_hatching_weight_g","annual_survival","PopulationDensity_ind_km2","eye_axial_length","eye_tranverse_diameter","Nest_type","Foraging","Development_continuum","Gregariousness","relative_brain"
"Alaudala rufescens",-1.11078833217987,-1.0535106439766,-0.822028878258896,-0.784007387201533,-0.796862851309079,-0.808298785565238,-0.820166857616722,-0.635364133738397,-0.720372871459531,-0.313420408809009,"Grassland","3","2","Omnivore","Terrestrial",0.157366031112282,-0.465018140008188,-0.880145994512407,-0.412345036401913,-0.415159254521675,0.94651979676017,-1.3592860239264,-0.632998021117898,-1.24803817141676,-1.42341613727538,-0.560777914975935,-0.274084989311352,2.45281496504723,-0.930660564703716,-0.821362062799515,"ExposedGround","GroundForaging",-0.637984962599953,"seasonal",-0.25727165402674
"Burhinus oedicnemus",1.96418110366242,1.32627127052398,0.694799381184797,0.430130587312645,1.58833831078005,0.545145621263023,0.583467729558234,0.672914788701294,0.431115976316967,0.0941829380002626,"Grassland","3","3","Invertivore","Terrestrial",-0.075573439646917,-0.465018140008188,0.958014138799028,1.00080088500983,-1.2297195827627,0.0114082659783894,1.00417804298342,0.911754026889111,0.830516624443445,1.70860863705148,1.14997840968946,1.42963977052674,-0.630458219441081,1.41888721399389,1.67146416758369,"ExposedGround","GroundForaging",1.05385861677373,"all-year round",0.00936977701939997
"Calandrella brachydactyla",-0.831245656194204,-0.695648701946437,-0.600054011023234,-0.673631207700244,-0.70867759707691,-0.744812950030806,-0.709181797235446,-0.281189176834835,-0.724385027723561,-0.31604466581307,"Shrubland","2","2","Invertivore","Terrestrial",-0.0330270760727193,-0.465018140008188,-0.880145994512407,-0.412345036401913,-0.140923944013862,0.94651979676017,-0.683225372228942,-0.617333608774613,-0.951101772008157,-1.05801324693724,-0.756918303614024,-0.416062052631193,1.16811780484376,-0.979611972243579,-0.812285876956799,"ExposedGround","GroundForaging",-0.637984962599953,"seasonal",-0.114376533204977
"Chersophilus duponti",-0.00225703085741158,0.342150929941033,-0.452070766199459,-0.646037162824922,-0.55330357771547,-0.666605761328969,-0.83159179030303,-0.902802366502312,-0.595996027274613,-0.299174442215537,"Shrubland","2","1","Invertivore","Terrestrial",-0.997065233008188,-0.465018140008188,-0.589910183989549,-0.412345036401913,-0.817009016453916,0.94651979676017,-1.5425002926791,-0.570742023343305,-1.02533587186031,0.769001204753425,-0.656105663752997,0.506788858947773,-0.177035692310448,-0.63739132458928,-0.584415679203508,"ExposedGround","GroundForaging",-0.442445252421085,"no",0.157819108567741
"Chlamydotis undulata subsp. fuertaventurae",1.78103245387871,1.63045392124962,1.84166952856905,0.457724632187967,2.07965615578784,1.74953632727131,1.20041409461885,0.19586280593323,2.04400279445687,1.23854643869955,"Desert","3","1","Omnivore","Terrestrial",-0.672782698386563,-0.818087468532923,2.11895738089046,0.291237147548396,-0.958199473349027,-0.923703264803391,0.472856663600594,2.01629592288996,0.607814324886995,1.2910053338079,1.40600834116024,2.21051361878586,-0.789156103936803,1.81816460012655,2.43512777330543,"ExposedGround","GroundForaging",1.05993127858053,"seasonal",-0.557166435144062
"Cursorius cursor",0.42187668443118,0.700012871971196,-0.452070766199459,-0.839195476952178,0.58470613166156,-0.208403643993501,-0.0906032989339251,0.578950004216675,-0.760494434099827,-0.206669382822401,"Desert","3","2","Invertivore","Terrestrial",-0.702032894000522,-0.818087468532923,-0.106183833118119,-0.418326589913039,-1.2297195827627,0.0114082659783894,0.157728121345951,-0.164672257213537,0.682048424739145,0.560199553131634,-0.230642149763242,0.932720048907297,-0.668243430035301,0.121235709062765,0.433802461758809,"ExposedGround","GroundForaging",1.05993127858053,"all-year round",-1.16049753627113
"Galerida cristata",-0.281799706843074,0.0916475705199195,-0.56305819981729,-0.590849073074277,-0.523908492971414,-0.650964323588602,-0.784259926316898,-0.844977883742547,-0.664202683763117,-0.295987844424892,"Grassland","3","1","Omnivore","Terrestrial",1.50387445650679,2.00646715966496,-0.589910183989549,-0.412345036401913,0.00569691506952347,0.94651979676017,-0.153125421915178,-0.584799829292406,-1.09956997171246,-0.797011182410006,-0.514506621968536,0.080857668988251,0.34440021388978,-0.976777102802036,-0.81614808369838,"ExposedGround","GroundForaging",-0.442445252421085,"seasonal",-0.137248947662069
"Melanocorypha calandra",-0.387833135665222,-0.0336041091906371,-0.304087521375684,0.181784183434745,-0.427324643098087,-0.461426901558267,-0.480683143509291,-0.0860315475206263,-0.672226996291176,-0.278274109647483,"Grassland","3","2","Omnivore","Terrestrial",-0.474501399294229,-0.818087468532923,-0.557661760598121,-0.412345036401913,0.0464249314815745,0.94651979676017,-0.197707560034287,-0.550659443416016,-0.505697172895257,-0.222806640450082,-0.452498305009948,0.00986913732833042,2.2941170805515,-0.672747337131329,-0.649493862799151,"ExposedGround","GroundForaging",-0.574829279809263,"seasonal",-0.129059186613724
"Otis tarda",3.81494640673991,3.3660843400959,3.46948522163058,3.02397080559293,4.22129804428336,3.46549405584691,2.49306362141254,0.31151177145276,2.47129743657602,5.99960470831652,"Grassland","3","2","Omnivore","Terrestrial",-0.55771914092306,-1.17115679705766,4.05386278437618,0.700411328265727,-0.958199473349027,-0.923703264803391,2.9096064380115,5.08893065176506,0.756282524591295,1.16050430154428,5.16881449364088,1.9975480238061,-0.698471598510676,2.95610515060462,3.05834749751512,"ExposedGround","GroundForaging",1.05993127858053,"seasonal",-0.48370292339056
"Pterocles alchata",-0.464948356626784,-0.552503925134372,0.250849646713472,0.402536542437323,-0.40632815399519,0.182632299515684,0.725463321516631,1.67038711630725,0.940659821848728,-0.0775184488368462,"Grassland","3","2","Granivore","Terrestrial",-0.700833852046653,-0.818087468532923,0.506536211319026,-0.418326589913039,-0.686679363935351,0.94651979676017,0.894249481731804,0.269111469215888,0.459346125182695,0.246997075698948,0.247790717373831,-0.203096457651431,-0.70602864062952,0.548682114787078,0.551985988051193,"ExposedGround","GroundForaging",1.5906819204946,"seasonal",-1.99641527553633
